subparam,unit1,value1,unit2,value2,modelname,modelid,specifications.topparam
Lower Time,sec,3,sec,3,950E,91555,Hydraulic System
Engine Make,,2236,,2236,936E,91554,Engine
Engine Model,,3304,,3304,936E,91554,Engine
Gross Power,hp,135.5,kw,101,936E,91554,Engine
Displacement,cu in,427.2,L,7,936E,91554,Engine
Operating Weight,lb,27105.9,kg,12295,936E,91554,Operational
Fuel Capacity,gal,52.9,L,200,936E,91554,Operational
Hydraulic System Fluid Capacity,gal,38.6,L,146,936E,91554,Operational
Static Tipping Weight,lb,19846.1,kg,9002,936E,91554,Operational
Turning Radius,ft in,19.6,mm,5950,936E,91554,Operational
Tire Size,,20.5-25 12PR,,20.5-25 12PR,936E,91554,Operational
Number Of Forward Gears,,4,,4,936E,91554,Transmission
Number Of Reverse Gears,,4,,4,936E,91554,Transmission
Max Speed - Forward,mph,26,km/h,41.8,936E,91554,Transmission
Max Speed - Reverse,mph,28.6,km/h,46,936E,91554,Transmission
Raise Time,sec,6.5,sec,6.5,936E,91554,Hydraulic System
Dump Time,sec,1.8,sec,1.8,936E,91554,Hydraulic System
Lower Time,sec,3.2,sec,3.2,936E,91554,Hydraulic System
Engine Make,,2236,,2236,930R,91553,Engine
Engine Model,,3304,,3304,930R,91553,Engine
Gross Power,hp,100.6,kw,75,930R,91553,Engine
Displacement,cu in,427.2,L,7,930R,91553,Engine
Operating Weight,lb,21201.9,kg,9617,930R,91553,Operational
Fuel Capacity,gal,39.1,L,148,930R,91553,Operational
Hydraulic System Fluid Capacity,gal,19.6,L,74,930R,91553,Operational
Static Tipping Weight,lb,16420.1,kg,7448,930R,91553,Operational
Turning Radius,ft in,19.5,mm,5943.5,930R,91553,Operational
Tire Size,,17.5-25 12PR,,17.5-25 12PR,930R,91553,Operational
Number Of Forward Gears,,4,,4,930R,91553,Transmission
Number Of Reverse Gears,,4,,4,930R,91553,Transmission
Max Speed - Forward,mph,19,km/h,30.5,930R,91553,Transmission
Max Speed - Reverse,mph,20.5,km/h,32.9,930R,91553,Transmission
Raise Time,sec,6.6,sec,6.6,930R,91553,Hydraulic System
Dump Time,sec,1.4,sec,1.4,930R,91553,Hydraulic System
Lower Time,sec,3.6,sec,3.6,930R,91553,Hydraulic System
Engine Make,,2236,,2236,926E,91552,Engine
Engine Model,,3204,,3204,926E,91552,Engine
Gross Power,hp,110,kw,82,926E,91552,Engine
Displacement,cu in,317.4,L,5.2,926E,91552,Engine
Operating Weight,lb,20794.1,kg,9432,926E,91552,Operational
Fuel Capacity,gal,39.7,L,150,926E,91552,Operational
Hydraulic System Fluid Capacity,gal,24.4,L,92,926E,91552,Operational
Static Tipping Weight,lb,14945.2,kg,6779,926E,91552,Operational
Turning Radius,ft in,18.4,mm,5600,926E,91552,Operational
Tire Size,,17.5-25 12PR,,17.5-25 12PR,926E,91552,Operational
Number Of Forward Gears,,4,,4,926E,91552,Transmission
Number Of Reverse Gears,,4,,4,926E,91552,Transmission
Max Speed - Forward,mph,21.3,km/h,34.2,926E,91552,Transmission
Max Speed - Reverse,mph,22.9,km/h,36.8,926E,91552,Transmission
Raise Time,sec,6,sec,6,926E,91552,Hydraulic System
Dump Time,sec,1.7,sec,1.7,926E,91552,Hydraulic System
Lower Time,sec,3.6,sec,3.6,926E,91552,Hydraulic System
Engine Make,,2236,,2236,916,91551,Engine
Engine Model,,3204,,3204,916,91551,Engine
Gross Power,hp,84.5,kw,63,916,91551,Engine
Displacement,cu in,317.4,L,5.2,916,91551,Engine
Operating Weight,lb,18937.8,kg,8590,916,91551,Operational
Fuel Capacity,gal,32.5,L,123,916,91551,Operational
Hydraulic System Fluid Capacity,gal,18.8,L,71,916,91551,Operational
Static Tipping Weight,lb,14607.9,kg,6626,916,91551,Operational
Turning Radius,ft in,18,mm,5460,916,91551,Operational
Tire Size,,17.5x25 (L-2),,17.5x25 (L-2),916,91551,Operational
Number Of Forward Gears,,3,,3,916,91551,Transmission
Number Of Reverse Gears,,3,,3,916,91551,Transmission
Max Speed - Forward,mph,15.5,km/h,24.8,916,91551,Transmission
Max Speed - Reverse,mph,15.6,km/h,25,916,91551,Transmission
Raise Time,sec,6.3,sec,6.3,916,91551,Hydraulic System
Dump Time,sec,1.3,sec,1.3,916,91551,Hydraulic System
Lower Time,sec,3.1,sec,3.1,916,91551,Hydraulic System
Engine Make,,2236,,2236,966D,91574,Engine
Engine Model,,3306,,3306,966D,91574,Engine
Net Power,hp,199.9,kw,149,966D,91574,Engine
Displacement,cu in,640.8,L,10.5,966D,91574,Engine
Operating Weight,lb,43001.2,kg,19505,966D,91574,Operational
Fuel Capacity,gal,81.4,L,308,966D,91574,Operational
Hydraulic System Fluid Capacity,gal,60.8,L,230,966D,91574,Operational
Static Tipping Weight,lb,30366.5,kg,13774,966D,91574,Operational
Turning Radius,ft in,24.1,mm,7320,966D,91574,Operational
Number Of Forward Gears,,4,,4,966D,91574,Transmission
Number Of Reverse Gears,,4,,4,966D,91574,Transmission
Max Speed - Forward,mph,21.4,km/h,34.3,966D,91574,Transmission
Max Speed - Reverse,mph,23.7,km/h,38.1,966D,91574,Transmission
Raise Time,sec,6.3,sec,6.3,966D,91574,Hydraulic System
Dump Time,sec,2,sec,2,966D,91574,Hydraulic System
Lower Time,sec,3,sec,3,966D,91574,Hydraulic System
Engine Make,,2236,,2236,950B,91573,Engine
Engine Model,,3304,,3304,950B,91573,Engine
Net Power,hp,156.9,kw,117,950B,91573,Engine
Displacement,cu in,427.2,L,7,950B,91573,Engine
Operating Weight,lb,32408,kg,14700,950B,91573,Operational
Fuel Capacity,gal,58.7,L,222,950B,91573,Operational
Hydraulic System Fluid Capacity,gal,40.5,L,153,950B,91573,Operational
Static Tipping Weight,lb,22839.9,kg,10360,950B,91573,Operational
Turning Radius,ft in,22.6,mm,6870,950B,91573,Operational
Number Of Forward Gears,,4,,4,950B,91573,Transmission
Number Of Reverse Gears,,4,,4,950B,91573,Transmission
Max Speed - Forward,mph,22.7,km/h,36.4,950B,91573,Transmission
Max Speed - Reverse,mph,24.5,km/h,39.4,950B,91573,Transmission
Raise Time,sec,6.6,sec,6.6,950B,91573,Hydraulic System
Dump Time,sec,2.2,sec,2.2,950B,91573,Hydraulic System
Lower Time,sec,3,sec,3,950B,91573,Hydraulic System
Number Of Cylinders,,4,,4,910E,91550,Engine
Engine Make,,2236,,2236,910E,91550,Engine
Engine Model,,3114,,3114,910E,91550,Engine
Net Power,hp,75,kw,56,910E,91550,Engine
Gross Power,hp,81,kw,60.5,910E,91550,Engine
Power Measured @,rpm,2400,rpm,2400,910E,91550,Engine
Displacement,cu in,268.6,L,4.4,910E,91550,Engine
Aspiration,,turbocharged,,turbocharged,910E,91550,Engine
Operating Weight,lb,15979.2,kg,7248,910E,91550,Operational
Fuel Capacity,gal,25.7,L,97,910E,91550,Operational
Hydraulic System Fluid Capacity,gal,18.5,L,70,910E,91550,Operational
Engine Oil Fluid Capacity,gal,3,L,11,910E,91550,Operational
Cooling System Fluid Capacity,gal,8,L,30,910E,91550,Operational
Transmission Fluid Capacity,gal,6.1,L,23,910E,91550,Operational
Front Axle/Diff Fluid Capacity,gal,4.8,L,18,910E,91550,Operational
Rear Axle/Diff Fluid Capacity,gal,4.8,L,18,910E,91550,Operational
Static Tipping Weight,lb,10491.8,kg,4759,910E,91550,Operational
Turning Radius,ft in,15.8,mm,4811.5,910E,91550,Operational
Operating Voltage,V,24,V,24,910E,91550,Operational
Alternator Supplied Amperage,amps,55,amps,55,910E,91550,Operational
Rear Axle Oscillation,degrees,22,degrees,22,910E,91550,Operational
Tire Size,,15.5x25 8 PR(L-2),,15.5x25 8 PR(L-2),910E,91550,Operational
Transmission Type,,powershift,,powershift,910E,91550,Transmission
Number Of Forward Gears,,4,,4,910E,91550,Transmission
Number Of Reverse Gears,,3,,3,910E,91550,Transmission
Max Speed - Forward,mph,22.4,km/h,36,910E,91550,Transmission
Max Speed - Reverse,mph,15,km/h,24,910E,91550,Transmission
Relief Valve Setting,psi,2204,kPa,15196.1,910E,91550,Hydraulic System
Pump Flow Capacity,gal/min,29.6,L/min,112,910E,91550,Hydraulic System
Raise Time,sec,5.3,sec,5.3,910E,91550,Hydraulic System
Dump Time,sec,1.3,sec,1.3,910E,91550,Hydraulic System
Lower Time,sec,3.2,sec,3.2,910E,91550,Hydraulic System
Engine Model,,3412,,3412,992C,91549,Engine
Net Power,hp,690,kw,514.6,992C,91549,Engine
Displacement,cu in,1647.7,L,27,992C,91549,Engine
Operating Weight,lb,187789.8,kg,85180,992C,91549,Operational
Fuel Capacity,gal,300.1,L,1136,992C,91549,Operational
Hydraulic System Fluid Capacity,gal,143,L,541,992C,91549,Operational
Static Tipping Weight,lb,106483.3,kg,48300,992C,91549,Operational
Number Of Forward Gears,,3,,3,992C,91549,Transmission
Number Of Reverse Gears,,3,,3,992C,91549,Transmission
Max Speed - Forward,mph,13.2,km/h,21.1,992C,91549,Transmission
Max Speed - Reverse,mph,14.5,km/h,23.3,992C,91549,Transmission
Raise Time,sec,12,sec,12,992C,91549,Hydraulic System
Dump Time,sec,2.5,sec,2.5,992C,91549,Hydraulic System
Lower Time,sec,4,sec,4,992C,91549,Hydraulic System
Engine Make,,2236,,2236,988B,91548,Engine
Engine Model,,3408,,3408,988B,91548,Engine
Gross Power,hp,375,kw,279.7,988B,91548,Engine
Displacement,cu in,1098.5,L,18,988B,91548,Engine
Operating Weight,lb,95603.5,kg,43365,988B,91548,Operational
Fuel Capacity,gal,165.2,L,625,988B,91548,Operational
Hydraulic System Fluid Capacity,gal,65,L,246,988B,91548,Operational
Static Tipping Weight,lb,49493.8,kg,22450,988B,91548,Operational
Number Of Forward Gears,,4,,4,988B,91548,Transmission
Number Of Reverse Gears,,4,,4,988B,91548,Transmission
Max Speed - Forward,mph,22.5,km/h,36.2,988B,91548,Transmission
Max Speed - Reverse,mph,25.8,km/h,41.4,988B,91548,Transmission
Raise Time,sec,9.4,sec,9.4,988B,91548,Hydraulic System
Dump Time,sec,3,sec,3,988B,91548,Hydraulic System
Lower Time,sec,4.5,sec,4.5,988B,91548,Hydraulic System
Engine Make,,2236,,2236,980C,91547,Engine
Engine Model,,3406,,3406,980C,91547,Engine
Net Power,hp,270,kw,201.4,980C,91547,Engine
Displacement,cu in,891,L,14.6,980C,91547,Engine
Fuel Capacity,gal,105.7,L,400,980C,91547,Operational
Hydraulic System Fluid Capacity,gal,55,L,208,980C,91547,Operational
Static Tipping Weight,lb,40763.5,kg,18490,980C,91547,Operational
Tire Size,,26.5-25 20 PR(L-4),,26.5-25 20 PR(L-4),980C,91547,Operational
Number Of Forward Gears,,4,,4,980C,91547,Transmission
Number Of Reverse Gears,,4,,4,980C,91547,Transmission
Max Speed - Forward,mph,15.3,km/h,24.6,980C,91547,Transmission
Max Speed - Reverse,mph,24.7,km/h,39.6,980C,91547,Transmission
Raise Time,sec,7.3,sec,7.3,980C,91547,Hydraulic System
Dump Time,sec,2,sec,2,980C,91547,Hydraulic System
Lower Time,sec,3.4,sec,3.4,980C,91547,Hydraulic System
Engine Make,,2236,,2236,966C,91546,Engine
Engine Model,,3306,,3306,966C,91546,Engine
Net Power,hp,170,kw,126.8,966C,91546,Engine
Displacement,cu in,640.8,L,10.5,966C,91546,Engine
Operating Weight,lb,36900,kg,16737.6,966C,91546,Operational
Fuel Capacity,gal,65,L,246,966C,91546,Operational
Hydraulic System Fluid Capacity,gal,52.1,L,197,966C,91546,Operational
Static Tipping Weight,lb,28153.1,kg,12770,966C,91546,Operational
Tire Size,,20.5-25 12 PR(L-3),,20.5-25 12 PR(L-3),966C,91546,Operational
Number Of Forward Gears,,4,,4,966C,91546,Transmission
Number Of Reverse Gears,,4,,4,966C,91546,Transmission
Max Speed - Forward,mph,23.7,km/h,38,966C,91546,Transmission
Max Speed - Reverse,mph,28.1,km/h,45.1,966C,91546,Transmission
Raise Time,sec,6.2,sec,6.2,966C,91546,Hydraulic System
Dump Time,sec,1.6,sec,1.6,966C,91546,Hydraulic System
Lower Time,sec,3.8,sec,3.8,966C,91546,Hydraulic System
Engine Make,,2236,,2236,950,91545,Engine
Engine Model,,3304T,,3304T,950,91545,Engine
Net Power,hp,130,kw,97,950,91545,Engine
Displacement,cu in,427.2,L,7,950,91545,Engine
Operating Weight,lb,28500,kg,12927.4,950,91545,Operational
Fuel Capacity,gal,53.1,L,201,950,91545,Operational
Hydraulic System Fluid Capacity,gal,41,L,155,950,91545,Operational
Static Tipping Weight,lb,21451,kg,9730,950,91545,Operational
Tire Size,,20.5-25 12PR(L-2),,20.5-25 12PR(L-2),950,91545,Operational
Number Of Forward Gears,,4,,4,950,91545,Transmission
Number Of Reverse Gears,,4,,4,950,91545,Transmission
Max Speed - Forward,mph,22.4,km/h,35.9,950,91545,Transmission
Max Speed - Reverse,mph,26.5,km/h,42.5,950,91545,Transmission
Raise Time,sec,6.2,sec,6.2,950,91545,Hydraulic System
Dump Time,sec,1.8,sec,1.8,950,91545,Hydraulic System
Lower Time,sec,3.1,sec,3.1,950,91545,Hydraulic System
Engine Make,,2236,,2236,930,91544,Engine
Engine Model,,3304,,3304,930,91544,Engine
Net Power,hp,100,kw,74.6,930,91544,Engine
Displacement,cu in,427.2,L,7,930,91544,Engine
Operating Weight,lb,21208.5,kg,9620,930,91544,Operational
Fuel Capacity,gal,39.1,L,148,930,91544,Operational
Hydraulic System Fluid Capacity,gal,19.6,L,74,930,91544,Operational
Static Tipping Weight,lb,15807.2,kg,7170,930,91544,Operational
Number Of Forward Gears,,4,,4,930,91544,Transmission
Number Of Reverse Gears,,3,,3,930,91544,Transmission
Max Speed - Forward,mph,27.5,km/h,44.2,930,91544,Transmission
Max Speed - Reverse,mph,14.5,km/h,23.3,930,91544,Transmission
Raise Time,sec,6.4,sec,6.4,930,91544,Hydraulic System
Dump Time,sec,1.8,sec,1.8,930,91544,Hydraulic System
Lower Time,sec,3.7,sec,3.7,930,91544,Hydraulic System
Engine Make,,2236,,2236,990H,91603,Engine
Engine Model,,C27 MEUI ACERT,,C27 MEUI ACERT,990H,91603,Engine
Net Power,hp,627,kw,467.6,990H,91603,Engine
Gross Power,hp,687,kw,512.3,990H,91603,Engine
Power Measured @,rpm,2000,rpm,2000,990H,91603,Engine
Displacement,cu in,1666,L,27.4,990H,91603,Engine
Bore,in,5.4,mm,137.2,990H,91603,Engine
Stroke,in,6,mm,152.4,990H,91603,Engine
Net Power - Iso 9249,hp,627,kw,467.6,990H,91603,Engine
Net Power - Sae J1349,hp,621,kw,463.1,990H,91603,Engine
Engine Model,,Cat C27 ACERT,,Cat C27 ACERT,990H,91603,Engine
Net Power - Iso 14396,hp,669,kw,498.9,990H,91603,Engine
Net Power - Eec 80/1269,hp,627,kw,467.6,990H,91603,Engine
Net Power - Din 70020,,650 PS,,650 PS,990H,91603,Engine
Operating Weight,lb,171612.3,kg,77842,990H,91603,Operational
Fuel Capacity,gal,283.8,L,1074,990H,91603,Operational
Hydraulic System Fluid Capacity,gal,115,L,435,990H,91603,Operational
Engine Oil Fluid Capacity,gal,25.1,L,95,990H,91603,Operational
Cooling System Fluid Capacity,gal,50.2,L,190,990H,91603,Operational
Transmission Fluid Capacity,gal,29.1,L,110,990H,91603,Operational
Front Axle/Diff Fluid Capacity,gal,71.6,L,271,990H,91603,Operational
Rear Axle/Diff Fluid Capacity,gal,69,L,261,990H,91603,Operational
Static Tipping Weight,lb,95663,kg,43392,990H,91603,Operational
Turning Radius,ft in,34,mm,10337,990H,91603,Operational
Operating Voltage,V,24,V,24,990H,91603,Operational
Alternator Supplied Amperage,amps,100,amps,100,990H,91603,Operational
Rear Axle Oscillation,degrees,22,degrees,22,990H,91603,Operational
Tire Size,,41.25/70-39,,41.25/70-39,990H,91603,Operational
Transmission Type,,Powershift,,Powershift,990H,91603,Transmission
Transmission Type,,powershift,,powershift,990H,91603,Transmission
Number Of Forward Gears,,3,,3,990H,91603,Transmission
Number Of Reverse Gears,,3,,3,990H,91603,Transmission
Max Speed - Forward,mph,14,km/h,22.4,990H,91603,Transmission
Max Speed - Reverse,mph,15.5,km/h,24.8,990H,91603,Transmission
Forward - 1,mph,4.4,km/h,7.1,990H,91603,Transmission
Forward - 2,mph,8,km/h,12.8,990H,91603,Transmission
Forward - 3,mph,14,km/h,22.5,990H,91603,Transmission
Reverse - 1,mph,5,km/h,8,990H,91603,Transmission
Reverse - 2,mph,8.8,km/h,14.1,990H,91603,Transmission
Direct Drive - Forward 3,mph,13.9,km/h,22.4,990H,91603,Transmission
Direct Drive - Reverse 3,mph,15.4,km/h,24.8,990H,91603,Transmission
Direct Drive - Forward 2,mph,7.9,km/h,12.8,990H,91603,Transmission
Direct Drive - Reverse 2,mph,8.8,km/h,14.2,990H,91603,Transmission
Converter Drive - Forward 3,mph,12.9,km/h,20.8,990H,91603,Transmission
Converter Drive - Reverse 3,mph,14.2,km/h,22.9,990H,91603,Transmission
Direct Drive - Forward 1,,Lock-up disabled,,Lock-up disabled,990H,91603,Transmission
Converter Drive - Forward 1,mph,4.3,km/h,7,990H,91603,Transmission
Converter Drive - Forward 2,mph,7.5,km/h,12.1,990H,91603,Transmission
Direct Drive - Reverse 1,mph,4.9,km/h,7.9,990H,91603,Transmission
Converter Drive - Reverse 1,mph,4.8,km/h,7.8,990H,91603,Transmission
Converter Drive - Reverse 2,mph,8.3,km/h,13.4,990H,91603,Transmission
Steering Angle - Each Direction,degrees,35,degrees,35,990H,91603,Steering
Relief Valve Setting,,4500 psi,,4500 psi,990H,91603,Steering
Minimum Turning Radius - Over Bucket,in,407,mm,10337.8,990H,91603,Steering
"Hydraulic Output At 2,128 Rpm And 6900 Kpa (1,000 Psi)",,108 gal/min,,108 gal/min,990H,91603,Steering
Minimum Turning Radius - Over Bucket - Hl,in,424,mm,10769.6,990H,91603,Steering
Reverse - 3,mph,15.5,km/h,24.8,990H,91603,Transmission
Tires,,Tires used for measurement - 41.25/70-39 42 ply,,Tires used for measurement - 41.25/70-39 42 ply,990H,91603,Tires
Bucket Capacities,,8.4 m3-9.2 m3 (11 yd3-12 yd3),,8.4 m3-9.2 m3 (11 yd3-12 yd3),990H,91603,Buckets
Relief Valve Setting,psi,4496.2,kPa,31000,990H,91603,Hydraulic System
Pump Flow Capacity,gal/min,171.8,L/min,650,990H,91603,Hydraulic System
Raise Time,sec,9.2,sec,9.2,990H,91603,Hydraulic System
Dump Time,sec,2.9,sec,2.9,990H,91603,Hydraulic System
Lower Time,sec,3.8,sec,3.8,990H,91603,Hydraulic System
Front,,Fixed,,Fixed,990H,91603,Axles
Rear,,Oscillating,,Oscillating,990H,91603,Axles
Oscillation Angle,,11 degrees,,11 degrees,990H,91603,Axles
Maximum Single-Wheel Rise And Fall,in,22.5,mm,571.5,990H,91603,Axles
Brakes,,Meet SAE/ISO 3450 1996,,Meet SAE/ISO 3450 1996,990H,91603,Brakes
Rated Payload,lb,33000,kg,14968.6,990H,91603,Operating Specifications
Cooling System,gal,50.2,L,190.1,990H,91603,Service Refill Capacities
Fuel Tank,gal,284,L,1075.1,990H,91603,Service Refill Capacities
Crankcase,gal,25,L,94.7,990H,91603,Service Refill Capacities
Hydraulic System - Including Tank,gal,115,L,435,990H,91603,Service Refill Capacities
Transmission,gal,29,L,109.8,990H,91603,Service Refill Capacities
Differential - Final Drives - Front,gal,71.6,L,271.1,990H,91603,Service Refill Capacities
Differential - Final Drives - Rear,gal,68.9,L,260.9,990H,91603,Service Refill Capacities
Hydraulic System - Tank Only,gal,46,L,174.1,990H,91603,Service Refill Capacities
Hydraulic System - Lift/Tilt And Brakes,gal,113,L,427.8,990H,91603,Service Refill Capacities
Hydraulic System - Steering And Engine Cooling Fan,gal,50.5,L,191.2,990H,91603,Service Refill Capacities
Raise,,9.2 s,,9.2 s,990H,91603,Hydraulic Cycle Times
Dump,,2.9 s,,2.9 s,990H,91603,Hydraulic Cycle Times
Total Hydraulic Cycle Time,,15.9 s,,15.9 s,990H,91603,Hydraulic Cycle Times
Lower Float Down - Empty,,3.8 s,,3.8 s,990H,91603,Hydraulic Cycle Times
Cab - Rops/Fops,,Meets SAE and ISO standards,,Meets SAE and ISO standards,990H,91603,Cab
Sound Performance,,"Sound Performance Meets ANSI, SAE and ISO standards",,"Sound Performance Meets ANSI, SAE and ISO standards",990H,91603,Cab
Relief Valve Setting,,4500 psi,,4500 psi,990H,91603,Loader Hydraulic System
"Pilot System, Gear-Type Pump Output At 2,000 Rpm And 6900 Kpa (1,000 Psi)",,12 gal/min,,12 gal/min,990H,91603,Loader Hydraulic System
"Main Hydraulic System Output At 2,128 Rpm And 6900 Kpa (1,000 Psi)",,172 gal/min,,172 gal/min,990H,91603,Loader Hydraulic System
"Cylinders, Double Acting - Lift, Bore And Stroke",,234 mm  1270 mm (9.25 in  50 in),,234 mm  1270 mm (9.25 in  50 in),990H,91603,Loader Hydraulic System
"Cylinders, Double Acting - Tilt, Bore And Stroke",,292 mm  820 mm (11.5 in  32.3 in),,292 mm  820 mm (11.5 in  32.3 in),990H,91603,Loader Hydraulic System
Relief Valve Setting - Low Idle,,350 psi,,350 psi,990H,91603,Loader Hydraulic System
Engine Make,,2236,,2236,938G Series II,91602,Engine
Engine Model,,3126B HEUI,,3126B HEUI,938G Series II,91602,Engine
Gross Power,hp,179.7,kw,134,938G Series II,91602,Engine
Max Torque,lb ft,618.9,Nm,839,938G Series II,91602,Engine
Displacement,cu in,439.4,L,7.2,938G Series II,91602,Engine
Aspiration,,turbocharged,,turbocharged,938G Series II,91602,Engine
Torque Rise,%,62,%,62,938G Series II,91602,Engine
Operating Weight,lb,30818.5,kg,13979,938G Series II,91602,Operational
Fuel Capacity,gal,67.1,L,254,938G Series II,91602,Operational
Hydraulic System Fluid Capacity,gal,23.8,L,90,938G Series II,91602,Operational
Engine Oil Fluid Capacity,gal,8.2,L,31,938G Series II,91602,Operational
Cooling System Fluid Capacity,gal,12.7,L,48,938G Series II,91602,Operational
Transmission Fluid Capacity,gal,8,L,30,938G Series II,91602,Operational
Front Axle/Diff Fluid Capacity,gal,8,L,30,938G Series II,91602,Operational
Rear Axle/Diff Fluid Capacity,gal,8.5,L,32,938G Series II,91602,Operational
Static Tipping Weight,lb,25229.8,kg,11444,938G Series II,91602,Operational
Turning Radius,ft in,19.6,mm,5955,938G Series II,91602,Operational
Operating Voltage,V,24,V,24,938G Series II,91602,Operational
Alternator Supplied Amperage,amps,50,amps,50,938G Series II,91602,Operational
Rear Axle Oscillation,degrees,24,degrees,24,938G Series II,91602,Operational
Tire Size,,20.5R25,,20.5R25,938G Series II,91602,Operational
Transmission Type,,electronic planetary powershift,,electronic planetary powershift,938G Series II,91602,Transmission
Number Of Forward Gears,,4,,4,938G Series II,91602,Transmission
Number Of Reverse Gears,,3,,3,938G Series II,91602,Transmission
Max Speed - Forward,mph,24.2,km/h,38.8,938G Series II,91602,Transmission
Max Speed - Reverse,mph,14.5,km/h,23.3,938G Series II,91602,Transmission
Relief Valve Setting,psi,3597,kPa,24800,938G Series II,91602,Hydraulic System
Pump Flow Capacity,gal/min,43.1,L/min,163,938G Series II,91602,Hydraulic System
Raise Time,sec,6,sec,6,938G Series II,91602,Hydraulic System
Dump Time,sec,1.4,sec,1.4,938G Series II,91602,Hydraulic System
Lower Time,sec,2.8,sec,2.8,938G Series II,91602,Hydraulic System
Pump Type,,vane type,,vane type,938G Series II,91602,Hydraulic System
Engine Make,,2236,,2236,928Gz,91601,Engine
Engine Model,,3056E DIT ATAAC,,3056E DIT ATAAC,928Gz,91601,Engine
Net Power,hp,144.9,kw,108,928Gz,91601,Engine
Gross Power,hp,156.9,kw,117,928Gz,91601,Engine
Power Measured @,rpm,2300,rpm,2300,928Gz,91601,Engine
Displacement,cu in,366,L,6,928Gz,91601,Engine
Bore,in,4,mm,100.1,928Gz,91601,Engine
Stroke,in,5,mm,127,928Gz,91601,Engine
Rated Net Power,hp,143,kw,106.7,928Gz,91601,Engine
Sae J1349 (2),hp,155,kw,115.6,928Gz,91601,Engine
Iso 9249 (1997) (2),hp,156,kw,116.4,928Gz,91601,Engine
Eec 80/1269 (2),hp,156,kw,116.4,928Gz,91601,Engine
Sae J1349 (1),hp,143,kw,106.7,928Gz,91601,Engine
Iso 9249 (1997) (1),hp,145,kw,108.2,928Gz,91601,Engine
Eec 80/1269 (1),hp,145,kw,108.2,928Gz,91601,Engine
Maximum Net Power - 2000 Rpm,hp,155,kw,115.6,928Gz,91601,Engine
Operating Weight,lb,27134.5,kg,12308,928Gz,91601,Operational
Fuel Capacity,gal,59.5,L,225,928Gz,91601,Operational
Hydraulic System Fluid Capacity,gal,33.1,L,125,928Gz,91601,Operational
Engine Oil Fluid Capacity,gal,4.3,L,16,928Gz,91601,Operational
Cooling System Fluid Capacity,gal,11.1,L,42,928Gz,91601,Operational
Transmission Fluid Capacity,gal,9.2,L,34.5,928Gz,91601,Operational
Front Axle/Diff Fluid Capacity,gal,6.9,L,26,928Gz,91601,Operational
Rear Axle/Diff Fluid Capacity,gal,6.7,L,25,928Gz,91601,Operational
Static Tipping Weight,lb,21735.4,kg,9859,928Gz,91601,Operational
Turning Radius,ft in,17.2,mm,5233,928Gz,91601,Operational
Operating Voltage,V,24,V,24,928Gz,91601,Operational
Alternator Supplied Amperage,amps,80,amps,80,928Gz,91601,Operational
Rear Axle Oscillation,degrees,11,degrees,11,928Gz,91601,Operational
Tire Size,,20.5-25 R25,,20.5-25 R25,928Gz,91601,Operational
Transmission Type,,countershaft,,countershaft,928Gz,91601,Transmission
Number Of Forward Gears,,4,,4,928Gz,91601,Transmission
Number Of Reverse Gears,,3,,3,928Gz,91601,Transmission
Max Speed - Forward,mph,23.7,km/h,38,928Gz,91601,Transmission
Max Speed - Reverse,mph,16.2,km/h,26,928Gz,91601,Transmission
Forward - 1,mph,4.9,km/h,7.9,928Gz,91601,Transmission
Reverse - 1,mph,4.9,km/h,7.9,928Gz,91601,Transmission
Steering Angle - Each Direction,degrees,40,degrees,40,928Gz,91601,Steering
Minimum Turning Radius - Over Tires,in,206,mm,5232.4,928Gz,91601,Steering
"Steering Cylinder, Two, Bore",in,2.8,mm,69.9,928Gz,91601,Steering
Hydraulic Output At 2300 Engine Rpm And 6900 Kpa (1000 Psi),,27 gal/min,,27 gal/min,928Gz,91601,Steering
Maximum Working Pressure,,3000 psi,,3000 psi,928Gz,91601,Steering
Steering Articulation,degrees,40,degrees,40,928Gz,91601,Steering
2,mph,7.8,km/h,12.6,928Gz,91601,Transmission
3,mph,16,km/h,25.8,928Gz,91601,Transmission
4,mph,23.4,km/h,37.7,928Gz,91601,Transmission
Operating Weight,lb,27140,kg,12310.5,928Gz,91601,Weights
Tread Width,ft in,96,m,29.3,928Gz,91601,Tires
Size,,17.5-25PR (L-2),,17.5-25PR (L-2),928Gz,91601,Tires
Optional Counterweight,lb,654.8,kg,297,928Gz,91601,Weights
Bucket Capacities,,2.0 m3 - 2.3 m3     2.6 yd3 - 3.0 yd3,,2.0 m3 - 2.3 m3     2.6 yd3 - 3.0 yd3,928Gz,91601,Buckets
Bucket Width,ft in,8.4,m,2.6,928Gz,91601,Buckets
Capacity - Reference Bucket,yd3,2.7,m3,2.1,928Gz,91601,Buckets
Type - Reference Bucket,,GP,,GP,928Gz,91601,Buckets
Breakout Force - Reference Bucket,lb,25844,kg,11722.7,928Gz,91601,Buckets
Relief Valve Setting,psi,3597,kPa,24800,928Gz,91601,Hydraulic System
Pump Flow Capacity,gal/min,40.2,L/min,152,928Gz,91601,Hydraulic System
Raise Time,sec,6.1,sec,6.1,928Gz,91601,Hydraulic System
Dump Time,sec,1.2,sec,1.2,928Gz,91601,Hydraulic System
Lower Time,sec,2.8,sec,2.8,928Gz,91601,Hydraulic System
